Model,Price
"realme C53 (Champion Gold, 64 GB)","₹9,999"
"realme C53 (Champion Gold, 128 GB)","₹11,999"
"realme C53 (Champion Black, 64 GB)","₹9,999"
"realme C53 (Champion Black, 128 GB)","₹9,999"
"realme 11x 5G (Midnight Black, 128 GB)","₹15,999"
"realme 11x 5G (Midnight Black, 128 GB)","₹14,999"
"realme C53 (Champion Black, 128 GB)","₹11,999"
"realme C53 (Champion Gold, 128 GB)","₹9,999"
"realme 11x 5G (Purple Dawn, 128 GB)","₹15,999"
"realme 11x 5G (Purple Dawn, 128 GB)","₹14,999"
"realme 11 Pro+ 5G (Sunrise Beige, 256 GB)","₹27,999"
"realme 11 5G (Glory Gold, 128 GB)","₹16,999"
"realme 11 5G (Glory Black, 128 GB)","₹16,999"
"realme 11 Pro 5G (Sunrise Beige, 256 GB)","₹27,999"
"realme C51 (Mint Green, 64 GB)","₹8,999"
"realme C51 (Mint Green, 128 GB)","₹8,999"
"realme C55 (Sunshower, 64 GB)","₹13,999"
"realme C51 (Carbon Black, 64 GB)","₹8,999"
"realme C51 (Carbon Black, 128 GB)","₹8,999"
"realme C55 (Sunshower, 128 GB)","₹13,999"
"realme 11 5G (Glory Black, 256 GB)","₹19,999"
"realme C55 (Sunshower, 64 GB)","₹8,299"
"realme C55 (Rainy Night, 64 GB)","₹8,299"
"realme C55 (Rainforest, 64 GB)","₹11,999"
